
> @ by-mechanism /Users/mmontgomery/dev/boardgames/board-games-analytics
> ts-node ./src/retrieve-games-by-mechanism

https://boardgamegeek.com/boardgame/117942/zooloretto-the-dice-game,117942,3449,"Zooloretto: The Dice Game",2012
https://boardgamegeek.com/boardgame/270836/imperial-settlers-roll-and-write,270836,3477,"Imperial Settlers: Roll & Write",2019
https://boardgamegeek.com/boardgame/360471/aquamarine,360471,3506,"Aquamarine",2022
https://boardgamegeek.com/boardgame/255360/bargain-basement-bathysphere,255360,3513,"Bargain Basement Bathysphere",2022
https://boardgamegeek.com/boardgame/180198/rolling-america,180198,3533,"Rolling America",2015
https://boardgamegeek.com/boardgame/377420/mind-space,377420,3659,"Mind Space",2023
https://boardgamegeek.com/boardgame/388329/waypoints,388329,3664,"Waypoints",2023
https://boardgamegeek.com/boardgame/249673/rolling-ranch,249673,3728,"Rolling Ranch",2019
https://boardgamegeek.com/boardgame/269041/calavera,269041,3864,"Calavera",2019
https://boardgamegeek.com/boardgame/75223/utopia-engine,75223,3929,"Utopia Engine",2010
https://boardgamegeek.com/boardgame/328826/super-skill-pinball-ramp-it-up,328826,4031,"Super-Skill Pinball: Ramp it Up!",2021
https://boardgamegeek.com/boardgame/180231/octodice,180231,4038,"OctoDice",2015
https://boardgamegeek.com/boardgame/321641/merchants-of-magick-a-set-a-watch-tale,321641,4074,"Merchants of Magick: A Set a Watch Tale",2021
https://boardgamegeek.com/boardgame/282463/copenhagen-roll-and-write,282463,4194,"Copenhagen: Roll & Write",2019
https://boardgamegeek.com/boardgame/275469/floor-plan,275469,4221,"Floor Plan",2020
https://boardgamegeek.com/boardgame/6955/reiner-knizias-decathlon,6955,4307,"Reiner Knizia's Decathlon",2003
https://boardgamegeek.com/boardgame/335240/vengeance-roll-and-fight-episode-1,335240,4344,"Vengeance: Roll & Fight – Episode 1",2022
https://boardgamegeek.com/boardgame/350185/draft-and-write-records,350185,4431,"Draft & Write Records",2024
https://boardgamegeek.com/boardgame/257726/brikks,257726,4509,"Brikks",2018
https://boardgamegeek.com/boardgame/403265/marabunta,403265,4542,"Marabunta",2023
https://boardgamegeek.com/boardgame/341512/en-las-cenizas,341512,4553,"En Las Cenizas",2022
https://boardgamegeek.com/boardgame/275840/dungeon-academy,275840,4629,"Dungeon Academy",2019
https://boardgamegeek.com/boardgame/300523/biblios-quill-and-parchment,300523,4741,"Biblios: Quill and Parchment",2021
https://boardgamegeek.com/boardgame/55834/mosaix,55834,4826,"Mosaix",2009
https://boardgamegeek.com/boardgame/279135/cat-cafe,279135,4872,"Cat Café",2019
https://boardgamegeek.com/boardgame/217475/twenty-one,217475,4905,"Twenty One",2017
https://boardgamegeek.com/boardgame/29355/wurfel-bingo,29355,4962,"Würfel Bingo",2007
https://boardgamegeek.com/boardgame/344415/trek-12-amazonia,344415,4964,"Trek 12: Amazonia",2021
https://boardgamegeek.com/boardgame/266188/seven-bridges,266188,5058,"Seven Bridges",2020
https://boardgamegeek.com/boardgame/162107/doodle-city,162107,5120,"Doodle City",2014
https://boardgamegeek.com/boardgame/141067/history-maker-baseball,141067,5173,"History Maker Baseball",2013
https://boardgamegeek.com/boardgame/220988/criss-cross,220988,5198,"Criss Cross",2017
https://boardgamegeek.com/boardgame/244994/wurfelland,244994,5247,"Würfelland",2018
https://boardgamegeek.com/boardgame/242569/penny-papers-adventures-the-valley-of-wiraqocha,242569,5309,"Penny Papers Adventures: The Valley of Wiraqocha",2018
https://boardgamegeek.com/boardgame/200551/30-rails,200551,5319,"30 Rails",2016
https://boardgamegeek.com/boardgame/374145/dungeon-pages-core-set,374145,5376,"Dungeon Pages: Core Set",2023
https://boardgamegeek.com/boardgame/370193/roll-to-the-top-journeys,370193,5504,"Roll to the Top: Journeys",2023
https://boardgamegeek.com/boardgame/367442/french-quarter,367442,5568,"French Quarter",2024
https://boardgamegeek.com/boardgame/217547/cant-stop-express,217547,5595,"Can't Stop Express",1989
https://boardgamegeek.com/boardgame/353311/star-trek-super-skill-pinball,353311,5659,"Star Trek: Super-Skill Pinball",2022
https://boardgamegeek.com/boardgame/267568/hexroller,267568,5746,"HexRoller",2019
https://boardgamegeek.com/boardgame/284825/florenza-dice-game,284825,5807,"Florenza Dice Game",2019
https://boardgamegeek.com/boardgame/272085/bloom,272085,5844,"Bloom",2019
https://boardgamegeek.com/boardgame/311465/roll-and-raid,311465,5852,"Roll & Raid",2020
https://boardgamegeek.com/boardgame/335678/lets-make-a-bus-route-the-dice-game,335678,6008,"Let's Make a Bus Route: The Dice Game",2021
https://boardgamegeek.com/boardgame/345887/dice-kingdoms-of-valeria,345887,6063,"Dice Kingdoms of Valeria",2022
https://boardgamegeek.com/boardgame/228390/sunflower-valley,228390,6132,"Sunflower Valley",2017
https://boardgamegeek.com/boardgame/283289/clipcut-parks,283289,6151,"ClipCut Parks",2019
https://boardgamegeek.com/boardgame/291511/medici-the-dice-game,291511,6177,"Medici: The Dice Game",2020
https://boardgamegeek.com/boardgame/360706/on-tour-paris-and-new-york,360706,6200,"On Tour: Paris and New York",2022
https://boardgamegeek.com/boardgame/175755/the-lord-of-the-rings-journey-to-mordor,175755,6294,"The Lord of the Rings: Journey to Mordor",2015
https://boardgamegeek.com/boardgame/217423/cosmic-run-rapid-fire,217423,6313,"Cosmic Run: Rapid Fire",2017
https://boardgamegeek.com/boardgame/230358/penny-papers-adventures-the-temple-of-apikhabou,230358,6323,"Penny Papers Adventures: The Temple of Apikhabou",2018
https://boardgamegeek.com/boardgame/354892/thats-pretty-clever-kids,354892,6340,"That's Pretty Clever! Kids",2022
https://boardgamegeek.com/boardgame/334646/dice-hospital-er-emergency-roll,334646,6343,"Dice Hospital: ER – Emergency Roll",2022
https://boardgamegeek.com/boardgame/163377/rolling-japan,163377,6409,"Rolling Japan",2014
https://boardgamegeek.com/boardgame/2371/extra,2371,6465,"Extra!",2011
https://boardgamegeek.com/boardgame/244333/once-upon-a-castle,244333,6471,"Once Upon a Castle",2018
https://boardgamegeek.com/boardgame/262388/qwantum,262388,6505,"Qwantum",2018
https://boardgamegeek.com/boardgame/319320/wok-and-roll,319320,6556,"Wok and Roll",2020
https://boardgamegeek.com/boardgame/228570/raging-bulls,228570,6629,"Raging Bulls",2017
https://boardgamegeek.com/boardgame/193083/kribbeln,193083,6661,"Kribbeln",2016
https://boardgamegeek.com/boardgame/356996/the-border,356996,6670,"The Border",2022
https://boardgamegeek.com/boardgame/241025/penny-papers-adventures-skull-island,241025,6780,"Penny Papers Adventures: Skull Island",2018
https://boardgamegeek.com/boardgame/301441/drawn-to-adventure,301441,6866,"Drawn to Adventure",2021
https://boardgamegeek.com/boardgame/330538/all-on-1-card,330538,6907,"All on 1 Card",2021
https://boardgamegeek.com/boardgame/349131/splitter,349131,6924,"Splitter",2021
https://boardgamegeek.com/boardgame/398898/high-season-grand-hotel-roll-and-write,398898,6935,"High Season: Grand Hotel Roll & Write",2023
https://boardgamegeek.com/boardgame/1302/cosmic-wimpout,1302,6951,"Cosmic Wimpout",1975
https://boardgamegeek.com/boardgame/335664/vengeance-roll-and-fight-episode-2,335664,7083,"Vengeance: Roll & Fight – Episode 2",2022
https://boardgamegeek.com/boardgame/258437/bukiet,258437,7193,"Bukiet",2018
https://boardgamegeek.com/boardgame/27710/catan-dice-game,27710,7475,"Catan Dice Game",2007
https://boardgamegeek.com/boardgame/232661/ada-lovelace-consulting-mathematician,232661,7476,"Ada Lovelace: Consulting Mathematician",2017
https://boardgamegeek.com/boardgame/260788/knapp-daneben,260788,7559,"Knapp Daneben!",2018
https://boardgamegeek.com/boardgame/329607/baseball-highlights-the-dice-game,329607,7650,"Baseball Highlights: The Dice Game",2021
https://boardgamegeek.com/boardgame/365608/roll-for-great-old-ones-a-roll-and-write-game,365608,7845,"Roll for Great Old Ones: A Roll & Write Game",2023
https://boardgamegeek.com/boardgame/345036/qwixx-longo,345036,8012,"Qwixx Longo",2021
https://boardgamegeek.com/boardgame/287693/anubixx,287693,8026,"Anubixx",2019
https://boardgamegeek.com/boardgame/401543/newsboys,401543,8043,"Newsboys",2023
https://boardgamegeek.com/boardgame/337784/number-drop,337784,8175,"Number Drop",2021
https://boardgamegeek.com/boardgame/308565/roll-n-cook,308565,8181,"Roll n Cook",2020
https://boardgamegeek.com/boardgame/367978/super-skill-pinball-holiday-special,367978,8271,"Super-Skill Pinball: Holiday Special",2022
https://boardgamegeek.com/boardgame/306494/rolling-village,306494,8387,"Rolling Village",2022
https://boardgamegeek.com/boardgame/284054/smoothies,284054,8389,"Smoothies",2019
https://boardgamegeek.com/boardgame/362121/sunshine-city,362121,8470,"Sunshine City",2022
https://boardgamegeek.com/boardgame/386436/house-of-cats,386436,8542,"House of Cats",2023
https://boardgamegeek.com/boardgame/375440/61-feuilles-dautomne,375440,8633,"61 Feuilles d'automne",2022
https://boardgamegeek.com/boardgame/366194/a-wayfarers-tale,366194,8648,"A Wayfarer's Tale",2022
https://boardgamegeek.com/boardgame/199269/1572-the-lost-expedition,199269,8674,"1572: The Lost Expedition",2016
https://boardgamegeek.com/boardgame/257667/tag-city,257667,8849,"Tag City",2018
https://boardgamegeek.com/boardgame/287691/qwixx-on-board,287691,8864,"Qwixx On Board",2019
https://boardgamegeek.com/boardgame/375408/woodcraft-roll-and-write,375408,8879,"Woodcraft: Roll and Write",2022
https://boardgamegeek.com/boardgame/309698/roar-and-write,309698,8942,"Roar and Write!",2022
https://boardgamegeek.com/boardgame/357872/island-alone,357872,8955,"Island Alone",2022
https://boardgamegeek.com/boardgame/297569/spicy-dice,297569,9036,"Spicy Dice",2018
https://boardgamegeek.com/boardgame/280041/rolled-west,280041,9064,"Rolled West",2019
https://boardgamegeek.com/boardgame/229782/roland-wright-the-dice-game,229782,9067,"Roland Wright: The Dice Game",2020
https://boardgamegeek.com/boardgame/381827/pick-a-pen-gardens,381827,9095,"Pick a Pen: Gardens",2023
https://boardgamegeek.com/boardgame/285535/5er-finden,285535,9192,"5er Finden",2019
https://boardgamegeek.com/boardgame/298166/hungry-hamsters,298166,9234,"Hungry Hamsters",2020
https://boardgamegeek.com/boardgame/328289/roll-em-fold-em,328289,9236,"Roll 'em Fold 'em",2021
https://boardgamegeek.com/boardgame/368846/dice-cards,368846,9308,"Dice Cards",2023
https://boardgamegeek.com/boardgame/310198/escape-roll-and-write,310198,9314,"Escape: Roll & Write",2021
https://boardgamegeek.com/boardgame/306577/clou-roll-and-heist-again,306577,9486,"Clou: Roll & Heist. Again!",2020
https://boardgamegeek.com/boardgame/302212/sebastian-fitzek-safehouse-wurfelspiel,302212,9497,"Sebastian Fitzek Safehouse Würfelspiel",2020
https://boardgamegeek.com/boardgame/349805/bismarck-solitaire,349805,9533,"Bismarck Solitaire",2021
https://boardgamegeek.com/boardgame/369384/blockits,369384,9637,"Blockits",2022
https://boardgamegeek.com/boardgame/298164/volle-weide,298164,9674,"Volle Weide",2020
https://boardgamegeek.com/boardgame/270677/knaster,270677,9681,"Knaster",2019
https://boardgamegeek.com/boardgame/292506/bresk,292506,9700,"Bresk!",2020
https://boardgamegeek.com/boardgame/390903/villagers-of-the-oak-dell,390903,9865,"Villagers of the Oak Dell",2023
https://boardgamegeek.com/boardgame/181956/romisch-pokern,181956,9918,"Römisch Pokern",2015
https://boardgamegeek.com/boardgame/363633/shus-tactics,363633,9960,"Shu's Tactics",2023
